season,seasonLabel,teamId,team,conference,athleteId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,usage,offensiveRating,PORPAG,effectiveFieldGoalPct,trueShootingPct,assistsTurnoverRatio,freeThrowRate,offensiveReboundPct,fieldGoals_pct,fieldGoals_attempted,fieldGoals_made,twoPointFieldGoals_pct,twoPointFieldGoals_attempted,twoPointFieldGoals_made,threePointFieldGoals_pct,threePointFieldGoals_attempted,threePointFieldGoals_made,freeThrows_pct,freeThrows_attempted,freeThrows_made,rebounds_total,rebounds_defensive,rebounds_offensive,winShares_totalPer40,winShares_total,winShares_defensive,winShares_offensive,defensiveRating,netRating
2005,20042005,13,Arkansas State,Sun Belt,89142,Dereke Tipler,G,24,0,597,106,61,53,132,34,2,13.2,98.6,0.6,42.5,0.504,2.16,71.3,27.6,42.5,80,34,43.0,79,34,0.0,1,0,66.7,57,38,87,63,24,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,89143,Jerry Nichols,G,24,0,545,216,23,68,18,18,5,18.8,113.1,1.8,54.6,0.561,0.78,25.4,24.0,40.5,173,70,43.8,48,21,39.2,125,49,61.4,44,27,50,38,12,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,89144,Tyler King,G,7,0,10,2,1,1,0,0,0,14.3,65.2,-0.1,50.0,0.5,0.0,0.0,,50.0,2,1,50.0,2,1,0.0,0,0,0.0,0,0,0,0,0,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,89145,Lorenzo Hampton,G,23,0,208,66,14,42,8,3,1,20.4,86.8,0.0,45.5,0.435,0.57,29.9,40.5,44.8,67,30,44.6,65,29,50.0,2,1,25.0,20,5,42,25,17,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,91534,Evgueni Sokolov,F,11,0,20,7,1,3,0,0,1,28.6,77.4,-0.1,30.0,0.322,0.0,20.0,22.2,20.0,10,2,0.0,2,0,25.0,8,2,50.0,2,1,9,7,2,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,91535,Geffery Wiles,G,1,0,0,0,0,0,0,0,0,,,,0.0,0.0,,0.0,,0.0,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,91536,Dewarick Spencer,G,24,0,812,454,69,77,65,38,14,26.4,113.7,3.8,55.8,0.592,0.94,25.9,23.6,45.1,344,155,50.6,160,81,40.2,184,74,78.7,89,70,110,84,26,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,91537,J.J. Montgomery,G,22,0,709,367,36,29,27,28,4,23.6,120.0,4.0,50.6,0.576,0.75,53.5,51.8,48.8,258,126,51.8,226,117,28.1,32,9,76.8,138,106,110,53,57,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,91538,Andre' King-Holland,G,21,0,271,42,29,24,45,15,0,12.6,84.7,-0.1,47.4,0.489,1.55,23.1,6.3,41.0,39,16,40.7,27,11,41.7,12,5,55.6,9,5,32,30,2,,,,,,
2005,20042005,13,Arkansas State,Sun Belt,91539,Joseph Bailey,G,7,0,13,7,0,0,1,0,0,35.7,111.3,0.3,18.8,0.359,,50.0,100.0,12.5,8,1,0.0,4,0,25.0,4,1,100.0,4,4,2,0,2,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,77999,Larry Williams,G,18,0,298,105,24,24,11,14,1,18.4,100.3,0.6,54.7,0.598,0.46,38.7,26.5,45.3,75,34,52.6,38,20,37.8,37,14,79.3,29,23,34,25,9,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,82408,William Byrd,F,18,0,526,163,40,43,27,22,36,19.5,90.4,0.2,45.3,0.484,0.68,28.0,33.8,44.7,150,67,50.4,129,65,9.5,21,2,64.3,42,27,130,86,44,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,82409,Jarvis Gunter,F,18,0,499,173,39,64,17,5,21,20.3,92.7,0.4,49.3,0.518,0.44,40.1,32.2,49.3,142,70,49.3,142,70,0.0,0,0,57.9,57,33,118,80,38,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,85849,Torian Noel,F,10,0,93,23,10,9,2,0,0,21.5,63.6,-0.8,35.7,0.381,0.2,17.9,15.4,32.1,28,9,41.2,17,7,18.2,11,2,60.0,5,3,13,11,2,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,85852,Jason Frierson,G,18,0,242,37,31,23,18,17,0,17.1,57.1,-1.1,30.0,0.347,0.58,42.2,28.1,28.9,45,13,41.4,29,12,6.3,16,1,52.6,19,10,32,23,9,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,89451,Virgil Young,F,7,0,84,14,3,13,3,2,2,13.3,79.1,-0.2,29.4,0.356,1.0,35.3,35.3,29.4,17,5,33.3,15,5,0.0,2,0,66.7,6,4,17,11,6,,,,,,
2005,20042005,14,Arkansas-Pine Bluff,SWAC,89452,Martese Coleman,G,18,0,578,163,40,43,75,32,3,17.2,98.2,0.9,46.5,0.502,1.88,30.8,16.0,37.8,143,54,39.2,74,29,36.2,69,25,68.2,44,30,50,42,8,,,,,,
