gameId,season,seasonLabel,seasonType,startDate,startTimeTbd,teamId,team,conference,opponentId,opponent,opponentConference,neutralSite,isHome,conferenceGame,gameType,notes,gameMinutes,pace,teamStats_fieldGoals_pct,teamStats_fieldGoals_attempted,teamStats_fieldGoals_made,teamStats_twoPointFieldGoals_pct,teamStats_twoPointFieldGoals_attempted,teamStats_twoPointFieldGoals_made,teamStats_threePointFieldGoals_pct,teamStats_threePointFieldGoals_attempted,teamStats_threePointFieldGoals_made,teamStats_freeThrows_pct,teamStats_freeThrows_attempted,teamStats_freeThrows_made,teamStats_rebounds_total,teamStats_rebounds_defensive,teamStats_rebounds_offensive,teamStats_turnovers_teamTotal,teamStats_turnovers_total,teamStats_fouls_flagrant,teamStats_fouls_technical,teamStats_fouls_total,teamStats_points_fastBreak,teamStats_points_offTurnovers,teamStats_points_inPaint,teamStats_points_byPeriod_0,teamStats_points_byPeriod_1,teamStats_points_largestLead,teamStats_points_total,teamStats_fourFactors_freeThrowRate,teamStats_fourFactors_offensiveReboundPct,teamStats_fourFactors_turnoverRatio,teamStats_fourFactors_effectiveFieldGoalPct,teamStats_assists,teamStats_blocks,teamStats_steals,teamStats_possessions,teamStats_rating,teamStats_trueShooting,teamStats_gameScore,opponentStats_fieldGoals_pct,opponentStats_fieldGoals_attempted,opponentStats_fieldGoals_made,opponentStats_twoPointFieldGoals_pct,opponentStats_twoPointFieldGoals_attempted,opponentStats_twoPointFieldGoals_made,opponentStats_threePointFieldGoals_pct,opponentStats_threePointFieldGoals_attempted,opponentStats_threePointFieldGoals_made,opponentStats_freeThrows_pct,opponentStats_freeThrows_attempted,opponentStats_freeThrows_made,opponentStats_rebounds_total,opponentStats_rebounds_defensive,opponentStats_rebounds_offensive,opponentStats_turnovers_teamTotal,opponentStats_turnovers_total,opponentStats_fouls_flagrant,opponentStats_fouls_technical,opponentStats_fouls_total,opponentStats_points_fastBreak,opponentStats_points_offTurnovers,opponentStats_points_inPaint,opponentStats_points_byPeriod_0,opponentStats_points_byPeriod_1,opponentStats_points_largestLead,opponentStats_points_total,opponentStats_fourFactors_freeThrowRate,opponentStats_fourFactors_offensiveReboundPct,opponentStats_fourFactors_turnoverRatio,opponentStats_fourFactors_effectiveFieldGoalPct,opponentStats_assists,opponentStats_blocks,opponentStats_steals,opponentStats_possessions,opponentStats_rating,opponentStats_trueShooting,opponentStats_gameScore,tournament,teamSeed,opponentSeed,teamStats_points_byPeriod_2,opponentStats_points_byPeriod_2,teamStats_points_byPeriod_3,teamStats_points_byPeriod_4,teamStats_points_byPeriod_5,opponentStats_points_byPeriod_3,opponentStats_points_byPeriod_4,opponentStats_points_byPeriod_5
24802,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,144,Little Rock,Sun Belt,232,Prairie View A&M,SWAC,True,True,False,TRNMNT,Wade Houston Tipoff Classic,40,61.0,43.1,51,22,52.9,34,18,23.5,17,4,79.3,29,23,35,19,16,0,19,0,0,11,2,29,28,29,42,7.0,71,56.9,45.7,31.7,47.1,7,4,13,60.0,118.3,55.7,55.900000000000006,49.1,55,27,55.9,34,19,38.1,21,8,100.0,4,4,26,17,9,0,24,0,0,21,4,20,22,32,34,3.0,66,7.3,34.6,38.7,56.4,14,1,12,62.0,106.5,58.1,39.800000000000004,,,,,,,,,,,
24801,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,1136,North Georgia,,164,Mercer,SoCon,False,False,False,STD,,40,75.0,31.7,63,20,34.8,46,16,23.5,17,4,44.4,9,4,30,23,7,0,14,0,0,16,0,6,0,29,19,4.0,48,14.3,23.3,18.9,34.9,7,1,7,74.0,64.9,35.8,13.900000000000006,50.0,62,31,59.5,37,22,36.0,25,9,72.7,11,8,49,39,10,2,18,0,0,15,0,15,0,36,43,31.0,79,17.7,20.4,23.7,57.3,19,3,6,76.0,103.9,59.1,62.89999999999999,,,,,,,,,,,
24800,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,201,North Dakota,Summit,167,Miami (OH),MAC,False,False,False,STD,,40,69.0,38.9,54,21,51.9,27,14,25.9,27,7,75.0,24,18,33,20,13,0,17,0,0,18,7,8,20,28,39,0.0,67,44.4,39.4,24.6,45.4,8,2,3,69.0,97.1,51.9,36.10000000000001,50.9,57,29,55.8,43,24,35.7,14,5,81.8,22,18,32,24,8,1,10,0,0,22,18,19,32,34,47,15.0,81,38.6,25.0,14.5,55.3,10,3,8,69.0,117.4,60.7,62.19999999999999,,,,,,,,,,,
24801,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,164,Mercer,SoCon,1136,North Georgia,,False,True,False,STD,,40,75.0,50.0,62,31,59.5,37,22,36.0,25,9,72.7,11,8,49,39,10,2,18,0,0,15,0,15,0,36,43,31.0,79,17.7,20.4,23.7,57.3,19,3,6,76.0,103.9,59.1,62.89999999999999,31.7,63,20,34.8,46,16,23.5,17,4,44.4,9,4,30,23,7,0,14,0,0,16,0,6,0,29,19,4.0,48,14.3,23.3,18.9,34.9,7,1,7,74.0,64.9,35.8,13.900000000000006,,,,,,,,,,,
24798,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,190,New Hampshire,Am. East,1114,Keene St,,False,True,False,STD,,40,76.0,49.3,75,37,56.6,53,30,31.8,22,7,85.7,14,12,50,34,16,0,10,0,0,14,21,24,56,42,51,41.0,93,18.7,32.0,13.2,54.0,16,5,12,76.0,122.4,57.3,87.00000000000001,34.5,58,20,32.6,43,14,40.0,15,6,66.7,12,8,30,23,7,0,19,0,0,16,7,4,18,31,23,2.0,54,20.7,23.3,25.0,39.7,7,3,3,76.0,71.1,42.7,16.200000000000003,,,,,,,,,,,
24798,2021,20202021,regular,2020-11-25 23:00:00+00:00,False,1114,Keene St,,190,New Hampshire,Am. East,False,False,False,STD,,40,76.0,34.5,58,20,32.6,43,14,40.0,15,6,66.7,12,8,30,23,7,0,19,0,0,16,7,4,18,31,23,2.0,54,20.7,23.3,25.0,39.7,7,3,3,76.0,71.1,42.7,16.200000000000003,49.3,75,37,56.6,53,30,31.8,22,7,85.7,14,12,50,34,16,0,10,0,0,14,21,24,56,42,51,41.0,93,18.7,32.0,13.2,54.0,16,5,12,76.0,122.4,57.3,87.00000000000001,,,,,,,,,,,
24803,2021,20202021,regular,2020-11-25 23:30:00+00:00,False,301,Towson,CAA,339,Virginia,ACC,True,False,False,TRNMNT,Bubbleville,40,60.0,36.7,49,18,33.3,33,11,43.8,16,7,78.6,14,11,26,19,7,1,10,0,0,9,0,0,20,19,35,0.0,54,28.6,26.9,16.7,43.9,9,0,1,60.0,90.0,48.9,30.0,55.6,63,35,58.8,34,20,51.7,29,15,100.0,4,4,34,26,8,0,6,0,0,14,0,0,32,42,47,42.0,89,6.3,23.5,10.0,67.5,17,5,7,60.0,148.3,68.7,83.1,,,,,,,,,,,
24803,2021,20202021,regular,2020-11-25 23:30:00+00:00,False,339,Virginia,ACC,301,Towson,CAA,True,True,False,TRNMNT,Bubbleville,40,60.0,55.6,63,35,58.8,34,20,51.7,29,15,100.0,4,4,34,26,8,0,6,0,0,14,0,0,32,42,47,42.0,89,6.3,23.5,10.0,67.5,17,5,7,60.0,148.3,68.7,83.1,36.7,49,18,33.3,33,11,43.8,16,7,78.6,14,11,26,19,7,1,10,0,0,9,0,0,20,19,35,0.0,54,28.6,26.9,16.7,43.9,9,0,1,60.0,90.0,48.9,30.0,,,,,,,,,,,
24808,2021,20202021,regular,2020-11-26 00:00:00+00:00,False,221,Omaha,Summit,17,Austin Peay,OVC,True,False,False,TRNMNT,Gulf Coast Showcase,40,78.0,42.6,61,26,46.9,49,23,25.0,12,3,57.9,19,11,36,25,11,0,19,0,0,23,6,18,40,26,40,0.0,66,31.1,30.6,24.4,45.1,5,2,7,78.0,84.6,47.6,29.400000000000006,43.9,57,25,48.7,39,19,33.3,18,6,66.7,24,16,36,26,10,0,19,0,0,20,8,20,30,27,45,17.0,72,42.1,27.8,24.4,49.1,14,6,11,78.0,92.3,53.3,51.69999999999999,,,,,,,,,,,
24808,2021,20202021,regular,2020-11-26 00:00:00+00:00,False,17,Austin Peay,OVC,221,Omaha,Summit,True,True,False,TRNMNT,Gulf Coast Showcase,40,78.0,43.9,57,25,48.7,39,19,33.3,18,6,66.7,24,16,36,26,10,0,19,0,0,20,8,20,30,27,45,17.0,72,42.1,27.8,24.4,49.1,14,6,11,78.0,92.3,53.3,51.69999999999999,42.6,61,26,46.9,49,23,25.0,12,3,57.9,19,11,36,25,11,0,19,0,0,23,6,18,40,26,40,0.0,66,31.1,30.6,24.4,45.1,5,2,7,78.0,84.6,47.6,29.400000000000006,,,,,,,,,,,
